Iteration,Nº Landmarks,Landmarks detected,Real Landmarks,Association time,Localitation time,Association Cost,Recovery Applied,Location estimated,Real location,Location Error,Orientation Error
0,2,5-17,24-31,68.479,826.144,193.659,0,(26.886562 | -92.840535),(88.578438 | -187.593277),11306.6,0.0
1,2,5-17,24-31,81.814,740.948,30.0315,0,(27.893882 | -92.598837),(87.368591 | -187.592697),11207.6,0.0
2,2,12-17,24-31,57.577,351.051,28.0906,0,(35.501353 | -102.848200),(86.158897 | -187.592102),9873.05,0.0
3,2,12-17,24-31,82.93,368.957,17.5299,0,(34.232449 | -103.671528),(84.949051 | -187.591522),9805.48,0.0
4,2,12-17,24-31,111.915,522.984,17.4469,0,(32.109348 | -105.798735),(83.336021 | -187.590744),9650.96,0.0
5,2,12-17,24-31,102.546,460.588,19.9774,0,(32.201259 | -106.188608),(82.126328 | -187.590149),9549.2,0.0
6,2,12-17,24-31,87.426,347.132,19.7111,0,(31.703859 | -106.536301),(80.916473 | -187.589569),9482.36,0.0
7,2,12-17,24-31,76.013,420.956,18.7958,0,(29.619100 | -109.138274),(79.706772 | -187.588974),9307.68,0.0
8,2,12-17,24-31,63.787,255.747,23.0328,0,(29.630811 | -108.600724),(78.093735 | -187.588196),9266.97,0.0
9,2,12-17,24-31,86.487,419.394,22.3282,0,(27.955261 | -109.740966),(76.883881 | -187.587616),9194.62,0.0
10,3,6-12-17,18-24-31,134.655,322.843,28.238,0,(26.700688 | -107.330349),(75.674179 | -187.587021),9401.88,0.0
11,3,6-12-17,18-24-31,80.887,466.722,23.9873,0,(26.479896 | -105.806545),(74.061142 | -187.586288),9461.45,0.0
12,3,6-12-17,18-24-31,90.677,460.824,23.1251,0,(25.340007 | -106.307066),(72.851288 | -187.585693),9414.64,0.0
13,4,5-6-12-17,13-18-24-31,92.341,355.332,30.2976,0,(30.983129 | -102.019144),(71.641586 | -187.585114),9473.46,0.0
14,4,5-6-12-17,13-18-24-31,148.149,413.752,35.2154,0,(23.873984 | -107.344372),(70.434547 | -187.584534),9277.05,0.0
15,4,5-6-12-17,13-18-24-31,143.001,467.526,32.4617,0,(21.301483 | -104.047472),(68.868896 | -187.583740),9612.99,0.0
16,4,5-6-12-17,13-18-24-31,131.582,382.596,29.8192,0,(16.680594 | -102.275080),(67.750732 | -187.583160),9942.65,0.0
17,4,5-6-12-17,13-18-24-31,127.415,255.952,35.848,0,(25.991421 | -102.836082),(66.698769 | -187.582581),9401.63,0.0
18,3,5-6-12,13-18-24,97.437,470.245,18.7474,0,(27.573687 | -110.502377),(65.798172 | -187.582275),8603.73,0.0
19,3,5-6-12,13-18-24,119.103,366.014,24.7928,0,(22.639900 | -104.501837),(65.419136 | -187.582123),9344.73,0.0
20,3,5-6-12,13-18-24,297.102,875.324,13.5057,0,(23.265047 | -108.416690),(65.418381 | -187.582123),8968.87,0.0
21,3,5-6-12,13-18-24,178.602,1227.69,18.1114,0,(22.885348 | -104.807591),(65.417923 | -187.582123),9306.26,0.0
22,3,5-6-12,13-18-24,83.987,309.708,13.1737,0,(26.935417 | -107.477583),(65.417664 | -187.582123),8886.86,0.0
23,3,5-6-12,13-18-24,127.326,363.988,20.3807,0,(18.232532 | -108.690858),(65.417664 | -187.582123),9192.53,0.0
24,3,0-6-12,13-18-24,133.609,251.067,18.4457,0,(15.920916 | -108.787981),(65.417664 | -187.582123),9305.08,0.0
25,3,0-6-12,13-18-24,92.155,276.535,18.8592,0,(20.745709 | -107.475363),(65.417664 | -187.582123),9172.06,0.0
26,3,5-6-12,13-18-24,74.752,231.325,16.7578,0,(22.919221 | -104.075599),(65.417664 | -187.582123),9369.88,0.0
27,3,5-6-12,13-18-24,123.222,303.458,15.8531,0,(22.598180 | -105.532386),(65.417664 | -187.582123),9255.09,0.0
28,3,5-6-12,13-18-24,116.217,326.443,14.8596,0,(22.478224 | -104.438876),(65.417664 | -187.582123),9357.67,0.0
29,3,5-6-12,13-18-24,85.621,705.906,14.3181,0,(24.487281 | -114.507535),(65.417664 | -187.582123),8375.67,0.0
30,3,0-6-12,13-18-24,78.693,423.415,29.3844,0,(18.651270 | -108.953505),(65.417664 | -187.582123),9148.53,0.0
31,3,0-6-12,13-18-24,89.974,300.238,19.2528,0,(17.251338 | -110.291831),(65.417664 | -187.582123),9107.02,0.0
32,3,0-6-12,13-18-24,79.15,234.199,18.612,0,(19.247648 | -108.812379),(65.417664 | -187.582123),9130.36,0.0
33,3,5-6-12,13-18-24,115.69,489.914,19.1028,0,(19.861322 | -107.826713),(65.417664 | -187.582123),9184.94,0.0
34,3,5-6-12,13-18-24,130.806,238.767,17.677,0,(24.335809 | -107.440650),(65.417664 | -187.582123),9005.76,0.0
35,3,5-6-12,13-18-24,84.826,350.214,17.3864,0,(26.269799 | -108.969119),(65.417618 | -187.582123),8782.12,0.0
36,3,5-6-12,13-18-24,97.339,414.756,21.7757,0,(21.370858 | -105.125996),(65.356216 | -187.582047),9345.43,0.0
37,3,5-6-12,13-18-24,131.477,301.955,14.1833,0,(20.860179 | -106.379561),(65.183968 | -187.582031),9251.18,0.0
38,3,5-6-12,13-18-24,102.114,243.847,15.0325,0,(22.724995 | -104.378925),(64.882912 | -187.581970),9327.4,0.0
39,3,5-6-12,13-18-24,116.279,299.964,16.6592,0,(20.865851 | -105.296011),(64.445862 | -187.581848),9311.38,0.0
40,4,0-5-6-12,13-14-18-24,90.348,331.537,28.3484,0,(17.529106 | -105.077568),(63.654686 | -187.581757),9452.25,0.0
41,4,0-5-6-12,13-14-18-24,98.737,260.96,32.0673,0,(17.937639 | -106.613734),(62.916267 | -187.581573),9262.22,0.0
42,4,0-5-6-12,13-14-18-24,137.707,500.271,32.584,0,(12.751262 | -103.598787),(62.100464 | -187.581299),9740.84,0.0
43,4,0-5-6-12,13-14-18-24,104.202,621.218,35.3859,0,(21.192783 | -102.251406),(61.214539 | -187.580978),9424.9,0.0
44,4,0-5-6-12,13-14-18-24,161.335,639.635,36.5953,0,(-32.056768 | -102.350221),(60.217480 | -187.580627),12561.4,0.0
45,4,0-5-6-7,13-14-18-24,104.683,218.557,162.993,0,(-24.448365 | -96.647181),(58.834953 | -187.579895),12330.8,0.0
46,4,0-5-6-7,13-14-18-24,156.842,1424.67,139.15,0,(18.016209 | -126.542242),(57.855820 | -187.579315),7288.84,0.0
47,4,0-6-7-12,13-14-18-24,111.532,418.49,68.5226,0,(11.178725 | -111.705029),(56.929634 | -187.578720),8860,0.0
48,4,13-14-18-24,13-14-18-24,101.494,327.273,12.0654,1,(55.911356 | -187.600199),(56.027283 | -187.578140),11.8007,0.0
49,4,13-14-18-24,13-14-18-24,101.285,236.634,4.33154,0,(54.815754 | -187.582074),(54.817020 | -187.577728),0.45269,0.0
50,4,13-14-18-24,13-14-18-24,147.499,236.6,2.84065,0,(54.124212 | -187.384886),(53.926529 | -187.577438),27.5962,0.0
51,4,13-14-18-24,13-14-18-24,150.362,350.231,4.55625,0,(53.076163 | -187.499212),(53.068676 | -187.577148),7.8295,0.0
52,4,13-14-18-24,13-14-18-24,96.178,232.812,3.77764,0,(52.226028 | -187.602159),(52.231060 | -187.576859),2.57957,0.0
53,4,13-14-18-24,13-14-18-24,104.335,269.135,4.0455,0,(51.335138 | -187.631258),(51.380173 | -187.576553),7.08573,0.0
54,4,13-14-18-24,13-14-18-24,115.916,262.602,4.9679,0,(50.144665 | -187.531794),(50.120014 | -187.576050),5.06584,0.0
55,4,13-14-18-24,13-14-18-24,157.476,271.164,4.94103,0,(49.289584 | -187.248801),(49.042236 | -187.575470),40.9748,0.0
56,4,13-14-18-24,13-14-18-24,158.644,234.854,6.68717,0,(47.676692 | -187.735013),(47.844654 | -187.574844),23.2089,0.0
57,4,13-14-18-24,13-14-18-24,109.002,304.966,5.42533,0,(46.430451 | -187.576132),(46.581253 | -187.574280),15.0813,0.0
58,3,13-14-18,13-14-18,133.624,283.693,5.28473,0,(44.954532 | -187.607768),(44.945122 | -187.573486),3.55497,0.0
59,3,13-14-18,13-14-18,99.706,208.699,3.48681,0,(43.871878 | -187.551825),(43.759434 | -187.572906),11.4403,0.0
60,3,13-14-18,13-14-18,133.597,339.53,3.95593,0,(42.735621 | -187.690762),(42.562500 | -187.572327),20.9757,0.0
61,3,13-14-18,13-14-18,106.228,297.937,4.79044,0,(41.059676 | -187.410305),(40.933548 | -187.571533),20.4702,0.0
62,3,13-14-18,13-14-18,128.407,308.98,4.80373,0,(39.805325 | -187.491739),(39.718513 | -187.570953),11.7521,0.0
63,3,13-14-18,13-14-18,80.279,255.247,3.57836,0,(38.503401 | -187.565560),(38.515194 | -187.570389),1.27431,0.0
64,3,13-14-18,13-14-18,85.121,264.578,4.85248,0,(37.140933 | -187.538462),(36.906780 | -187.569611),23.6216,0.0
65,3,13-14-18,13-14-18,77.853,347.51,4.22882,0,(35.680898 | -187.571400),(35.693295 | -187.569016),1.26234,0.0
66,3,13-14-18,13-14-18,102.871,318.742,3.87075,0,(34.446506 | -187.617249),(34.481247 | -187.568436),5.99137,0.0
67,3,13-14-18,13-14-18,96.404,370.605,4.49662,0,(32.714774 | -187.578177),(32.870552 | -187.567657),15.6133,0.0
68,3,13-14-18,13-14-18,121.607,380.683,2.61897,0,(31.791142 | -187.471216),(31.661823 | -187.567062),16.0965,0.0
69,3,13-14-18,13-14-18,79.806,253.383,2.97609,0,(30.678393 | -187.539728),(30.451012 | -187.566483),22.895,0.0
70,3,13-14-18,13-14-18,74.408,241.034,6.28141,0,(29.017863 | -187.451415),(28.837196 | -187.565704),21.3781,0.0
71,3,13-14-18,13-14-18,81.113,270.648,4.1255,0,(27.513986 | -187.668570),(27.628059 | -187.565109),15.4003,0.0
72,4,8-13-14-18,8-13-14-18,99.495,288.493,4.72129,0,(26.341126 | -187.599489),(26.418575 | -187.564529),8.49737,0.0
73,4,8-13-14-18,8-13-14-18,130.245,268.259,6.56035,0,(24.672836 | -187.678536),(24.805204 | -187.563751),17.5205,0.0
74,5,1-8-13-14-18,1-8-13-14-18,109.776,444.645,6.92756,0,(23.607053 | -187.561485),(23.595415 | -187.563156),1.17568,0.0
75,4,1-8-13-14,1-8-13-14,142.845,469.039,5.98278,0,(22.392950 | -187.553237),(22.393732 | -187.562576),0.937179,0.0
76,5,1-7-8-13-14,1-7-8-13-14,117.606,246.285,7.69771,0,(20.846441 | -187.523454),(20.849165 | -187.561798),3.84407,0.0
77,5,1-7-8-13-14,1-7-8-13-14,188.203,279.005,7.79873,0,(19.745019 | -187.584089),(19.745352 | -187.561203),2.28881,0.0
78,5,1-7-8-13-14,1-7-8-13-14,182.577,304.108,5.27456,0,(18.934917 | -187.468022),(18.673653 | -187.560623),27.7189,0.0
79,5,1-7-8-13-14,1-7-8-13-14,133.625,261.95,5.28879,0,(17.707650 | -187.521677),(17.625273 | -187.560028),9.08668,0.0
80,5,1-7-8-13-14,1-7-8-13-14,137.046,395.221,5.4087,0,(16.612311 | -187.633519),(16.604637 | -187.559448),7.44676,0.0
81,6,1-2-7-8-13-14,1-2-7-8-13-14,135.683,322.146,7.75036,0,(15.392219 | -187.525073),(15.374299 | -187.558960),3.83336,0.0
82,6,1-2-7-8-13-14,1-2-7-8-13-14,128.207,252.819,4.40616,0,(15.067316 | -187.476622),(14.978139 | -187.558807),12.1272,0.0
83,6,1-2-7-8-13-14,1-2-7-8-13-14,163.978,306.923,5.35989,0,(14.915374 | -187.748043),(14.968328 | -187.558792),19.652,0.0
84,6,1-2-7-8-13-14,1-2-7-8-13-14,145.918,226.037,3.29585,0,(14.854907 | -187.475128),(14.967599 | -187.558792),14.0353,0.0
85,6,1-2-7-8-13-14,1-2-7-8-13-14,157.816,228.686,3.27965,0,(14.945761 | -187.576232),(14.967397 | -187.558792),2.77899,0.0
86,6,1-2-7-8-13-14,1-2-7-8-13-14,215.846,299.709,4.49597,0,(14.973068 | -187.467929),(14.967336 | -187.558792),9.10442,0.0
87,6,1-2-7-8-13-14,1-2-7-8-13-14,123.198,263.334,4.31619,0,(15.074260 | -187.579402),(14.967336 | -187.558792),10.8893,0.0
88,6,1-2-7-8-13-14,1-2-7-8-13-14,160.864,321.515,2.98425,0,(15.012634 | -187.509183),(14.967336 | -187.558792),6.71783,0.0
89,6,1-2-7-8-13-14,1-2-7-8-13-14,129,218.854,3.71575,0,(15.177223 | -187.630398),(14.967336 | -187.558792),22.1766,0.0
90,6,1-2-7-8-13-14,1-2-7-8-13-14,117.22,198.829,4.92045,0,(15.084368 | -187.616432),(14.967336 | -187.558792),13.0457,0.0
91,6,1-2-7-8-13-14,1-2-7-8-13-14,182.089,269.251,3.4251,0,(15.030727 | -187.442581),(14.967336 | -187.558792),13.2376,0.0
92,6,1-2-7-8-13-14,1-2-7-8-13-14,119.857,229.314,4.35111,0,(15.037724 | -187.324467),(14.967336 | -187.558792),24.4669,0.0
93,6,1-2-7-8-13-14,1-2-7-8-13-14,191.864,344.994,4.10719,0,(14.842712 | -187.656741),(14.967336 | -187.558792),15.8509,0.0
94,6,1-2-7-8-13-14,1-2-7-8-13-14,157.484,241.246,3.22441,0,(15.010818 | -187.513897),(14.967336 | -187.558792),6.25009,0.0
95,6,1-2-7-8-13-14,1-2-7-8-13-14,141.849,229.397,4.97753,0,(15.028790 | -187.733946),(14.967336 | -187.558792),18.5622,0.0
96,6,1-2-7-8-13-14,1-2-7-8-13-14,167.798,250.395,4.51961,0,(15.101057 | -187.413002),(14.967336 | -187.558792),19.7829,0.0
97,6,1-2-7-8-13-14,1-2-7-8-13-14,152.34,245.062,2.42111,0,(14.942351 | -187.498811),(14.967336 | -187.558792),6.49764,0.0
98,6,1-2-7-8-13-14,1-2-7-8-13-14,153.412,286.779,2.30313,0,(14.810719 | -187.704668),(14.967336 | -187.558792),21.4029,0.0
99,6,1-2-7-8-13-14,1-2-7-8-13-14,132.817,324.003,3.69077,0,(14.915548 | -187.607962),(14.967336 | -187.558792),7.14116,0.0
100,6,1-2-7-8-13-14,1-2-7-8-13-14,213.855,327.816,6.29579,0,(14.483943 | -188.050806),(14.967336 | -187.558792),68.9744,0.0
101,6,1-2-7-8-13-14,1-2-7-8-13-14,161.858,302.255,7.01514,0,(15.118711 | -187.406520),(14.967336 | -187.558792),21.4712,0.0
102,6,1-2-7-8-13-14,1-2-7-8-13-14,213.203,355.951,2.04513,0,(14.956253 | -187.542232),(14.967336 | -187.558792),1.99259,0.0
103,6,1-2-7-8-13-14,1-2-7-8-13-14,127.175,263.211,3.41285,0,(14.985819 | -187.549935),(14.967336 | -187.558792),2.04955,0.0
104,6,1-2-7-8-13-14,1-2-7-8-13-14,133.919,226.613,3.65504,0,(14.938900 | -187.589206),(14.967336 | -187.558792),4.16363,0.0
105,6,1-2-7-8-13-14,1-2-7-8-13-14,136.927,322.482,1.91802,0,(15.007378 | -187.493522),(14.967336 | -187.558792),7.65735,0.0
106,6,1-2-7-8-13-14,1-2-7-8-13-14,163.667,291.958,4.14785,0,(14.984563 | -187.677688),(14.967336 | -187.558792),12.0138,0.0
107,6,1-2-7-8-13-14,1-2-7-8-13-14,150.212,292.968,4.04142,0,(15.023442 | -187.620469),(14.967336 | -187.558792),8.33785,0.0
108,6,1-2-7-8-13-14,1-2-7-8-13-14,201.794,347.109,2.40798,0,(14.982674 | -187.478774),(14.967336 | -187.558792),8.14747,0.0
109,6,1-2-7-8-13-14,1-2-7-8-13-14,141.051,222.97,2.82463,0,(14.956363 | -187.545302),(14.967336 | -187.558792),1.73892,0.0
110,6,1-2-7-8-13-14,1-2-7-8-13-14,123.579,250.902,2.67797,0,(15.091174 | -187.457819),(14.967336 | -187.558792),15.9786,0.0
111,6,1-2-7-8-13-14,1-2-7-8-13-14,215.97,383.962,1.06871,0,(14.990427 | -187.511302),(14.967336 | -187.558792),5.28062,0.0
112,6,1-2-7-8-13-14,1-2-7-8-13-14,219.702,323.216,2.81334,0,(14.950753 | -187.454736),(14.967336 | -187.558792),10.537,0.0
113,6,1-2-7-8-13-14,1-2-7-8-13-14,529.466,641.993,4.4958,0,(14.942960 | -187.576089),(14.967336 | -187.558792),2.98891,0.0
114,6,1-2-7-8-13-14,1-2-7-8-13-14,164.994,336.49,5.24691,0,(15.001351 | -187.595719),(14.967336 | -187.558792),5.02058,0.0
115,6,1-2-7-8-13-14,1-2-7-8-13-14,207.854,253.596,3.47383,0,(14.925452 | -187.559382),(14.967336 | -187.558792),4.18874,0.0
116,6,1-2-7-8-13-14,1-2-7-8-13-14,121.906,182.471,4.72659,0,(14.938891 | -187.603706),(14.967336 | -187.558792),5.31633,0.0
117,6,1-2-7-8-13-14,1-2-7-8-13-14,223.08,308.306,3.01302,0,(14.999634 | -187.563967),(14.967336 | -187.558792),3.27099,0.0
118,6,1-2-7-8-13-14,1-2-7-8-13-14,200.901,219.461,4.00394,0,(14.913413 | -187.575473),(14.967336 | -187.558792),5.64438,0.0
119,6,1-2-7-8-13-14,1-2-7-8-13-14,128.283,227.222,4.41725,0,(14.960837 | -187.565007),(14.967336 | -187.558792),0.899254,0.0
120,6,1-2-7-8-13-14,1-2-7-8-13-14,213.566,292.274,3.77366,0,(15.153982 | -187.422122),(14.967336 | -187.558792),23.1334,0.0
121,6,1-2-7-8-13-14,1-2-7-8-13-14,145.211,240.459,5.13266,0,(14.807471 | -187.620325),(14.967336 | -187.558792),17.1298,0.0
122,6,1-2-7-8-13-14,1-2-7-8-13-14,222.799,341.145,4.71034,0,(14.690621 | -187.809095),(14.967336 | -187.558792),37.3125,0.0
123,6,1-2-7-8-13-14,1-2-7-8-13-14,210.004,357.918,2.5653,0,(14.947264 | -187.578893),(14.967336 | -187.558792),2.84062,0.0
124,6,1-2-7-8-13-14,1-2-7-8-13-14,123.972,271.256,5.211,0,(14.943366 | -187.559237),(14.967336 | -187.558792),2.3974,0.0
125,6,1-2-7-8-13-14,1-2-7-8-13-14,215.741,308.549,2.21822,0,(14.886268 | -187.734028),(14.967336 | -187.558792),19.3079,0.0
126,6,1-2-7-8-13-14,1-2-7-8-13-14,227.277,425.038,3.8702,0,(15.141233 | -187.710985),(14.967336 | -187.558792),23.1091,0.0
127,6,1-2-7-8-13-14,1-2-7-8-13-14,180.622,313.161,2.63578,0,(14.965732 | -187.561490),(14.967336 | -187.558792),0.313863,0.0
128,6,1-2-7-8-13-14,1-2-7-8-13-14,167.731,259.591,4.70664,0,(14.953499 | -187.491383),(14.967336 | -187.558792),6.88148,0.0
129,6,1-2-7-8-13-14,1-2-7-8-13-14,141.817,352.083,2.73054,0,(14.984982 | -187.559627),(14.967336 | -187.558792),1.76661,0.0
130,6,1-2-7-8-13-14,1-2-7-8-13-14,135.658,152.646,1.8647,0,(14.987223 | -187.537817),(14.967336 | -187.558792),2.89049,0.0
131,6,1-2-7-8-13-14,1-2-7-8-13-14,122.814,230.735,3.18707,0,(14.874272 | -187.596808),(14.967336 | -187.558792),10.0529,0.0
132,6,1-2-7-8-13-14,1-2-7-8-13-14,178.417,270.397,2.70237,0,(14.950441 | -187.586718),(14.967336 | -187.558792),3.26388,0.0
133,6,1-2-7-8-13-14,1-2-7-8-13-14,218.331,382.669,1.76911,0,(14.985536 | -187.552487),(14.967336 | -187.558792),1.9262,0.0
134,6,1-2-7-8-13-14,1-2-7-8-13-14,216.678,465.255,4.32677,0,(14.962391 | -187.520831),(14.967336 | -187.558792),3.8282,0.0
135,6,1-2-7-8-13-14,1-2-7-8-13-14,121.593,227.4,3.12822,0,(14.914317 | -187.679650),(14.967336 | -187.558792),13.1976,0.0
136,6,1-2-7-8-13-14,1-2-7-8-13-14,152.653,247.668,3.45053,0,(14.893340 | -187.573180),(14.967336 | -187.558792),7.53819,0.0
137,6,1-2-7-8-13-14,1-2-7-8-13-14,122.123,296.565,2.62352,0,(14.807931 | -187.634046),(14.967336 | -187.558792),17.6276,0.0
138,6,1-2-7-8-13-14,1-2-7-8-13-14,167.857,202.684,3.88755,0,(14.984583 | -187.548276),(14.967336 | -187.558792),2.02005,0.0
139,6,1-2-7-8-13-14,1-2-7-8-13-14,213.094,414.509,4.10275,0,(15.035899 | -187.429989),(14.967336 | -187.558792),14.5915,0.0
140,6,1-2-7-8-13-14,1-2-7-8-13-14,172.795,342.547,3.97171,0,(14.990821 | -187.568933),(14.967336 | -187.558792),2.55812,0.0
141,6,1-2-7-8-13-14,1-2-7-8-13-14,172.108,297.447,4.25925,0,(15.012542 | -187.566549),(14.967336 | -187.558792),4.58669,0.0
142,6,1-2-7-8-13-14,1-2-7-8-13-14,124.979,298.369,3.273,0,(14.991475 | -187.543883),(14.967336 | -187.558792),2.83724,0.0
143,6,1-2-7-8-13-14,1-2-7-8-13-14,220.4,354.128,2.79761,0,(14.867248 | -187.678003),(14.967336 | -187.558792),15.5656,0.0
144,6,1-2-7-8-13-14,1-2-7-8-13-14,215.423,281.193,3.37875,0,(14.871970 | -187.645855),(14.967336 | -187.558792),12.913,0.0
145,6,1-2-7-8-13-14,1-2-7-8-13-14,155.953,408.841,2.07305,0,(14.969863 | -187.556307),(14.967336 | -187.558792),0.354446,0.0
146,6,1-2-7-8-13-14,1-2-7-8-13-14,159.737,289.105,3.5549,0,(14.902354 | -187.574095),(14.967336 | -187.558792),6.67598,0.0
147,6,1-2-7-8-13-14,1-2-7-8-13-14,121.945,243.263,2.48684,0,(14.990554 | -187.495009),(14.967336 | -187.558792),6.78778,0.0
148,6,1-2-7-8-13-14,1-2-7-8-13-14,149.88,423.939,2.54683,0,(14.891624 | -187.473440),(14.967336 | -187.558792),11.4093,0.0
149,6,1-2-7-8-13-14,1-2-7-8-13-14,143.704,360.791,2.84008,0,(14.985758 | -187.530675),(14.967336 | -187.558792),3.36144,0.0
150,6,1-2-7-8-13-14,1-2-7-8-13-14,122.893,278.883,2.39568,0,(14.940598 | -187.609401),(14.967336 | -187.558792),5.72376,0.0
151,6,1-2-7-8-13-14,1-2-7-8-13-14,135.112,329.856,3.15077,0,(14.896024 | -187.524181),(14.967336 | -187.558792),7.92669,0.0
152,6,1-2-7-8-13-14,1-2-7-8-13-14,157.355,224.554,3.97918,0,(15.095889 | -187.500073),(14.967336 | -187.558792),14.1329,0.0
153,6,1-2-7-8-13-14,1-2-7-8-13-14,210.759,291.336,3.4961,0,(14.909996 | -187.603626),(14.967336 | -187.558792),7.2787,0.0
154,6,1-2-7-8-13-14,1-2-7-8-13-14,207.215,767.447,5.49533,0,(15.131613 | -187.397656),(14.967336 | -187.558792),23.0112,0.0
155,6,1-2-7-8-13-14,1-2-7-8-13-14,177.77,251.502,6.14508,0,(14.927985 | -187.606197),(14.967336 | -187.558792),6.16097,0.0
156,6,1-2-7-8-13-14,1-2-7-8-13-14,215.424,259.126,3.07546,0,(14.945117 | -187.576534),(14.967336 | -187.558792),2.84336,0.0
157,6,1-2-7-8-13-14,1-2-7-8-13-14,185.464,251.681,4.15185,0,(14.861462 | -187.430658),(14.967336 | -187.558792),16.6216,0.0
158,6,1-2-7-8-13-14,1-2-7-8-13-14,145.914,419.135,3.69416,0,(14.959999 | -187.548543),(14.967336 | -187.558792),1.26047,0.0
159,6,1-2-7-8-13-14,1-2-7-8-13-14,121.084,270.556,4.28432,0,(14.911316 | -187.547478),(14.967336 | -187.558792),5.71506,0.0
160,6,1-2-7-8-13-14,1-2-7-8-13-14,142.611,234.773,1.88657,0,(14.956444 | -187.546251),(14.967336 | -187.558792),1.66105,0.0
161,6,1-2-7-8-13-14,1-2-7-8-13-14,218.067,346.606,3.29491,0,(14.980405 | -187.546781),(14.967336 | -187.558792),1.77504,0.0
162,6,1-2-7-8-13-14,1-2-7-8-13-14,219.264,319.423,4.30108,0,(14.987258 | -187.589276),(14.967336 | -187.558792),3.64169,0.0
163,6,1-2-7-8-13-14,1-2-7-8-13-14,122.56,255.685,2.80871,0,(14.962211 | -187.552810),(14.967336 | -187.558792),0.787711,0.0
164,6,1-2-7-8-13-14,1-2-7-8-13-14,210.991,229.914,3.68847,0,(15.079154 | -187.453007),(14.967336 | -187.558792),15.3928,0.0
165,6,1-2-7-8-13-14,1-2-7-8-13-14,212.139,341.969,3.64515,0,(15.140660 | -187.673152),(14.967336 | -187.558792),20.7652,0.0
166,6,1-2-7-8-13-14,1-2-7-8-13-14,208.528,371.752,4.72803,0,(14.891000 | -187.629180),(14.967336 | -187.558792),10.3835,0.0
167,6,1-2-7-8-13-14,1-2-7-8-13-14,207.692,353.809,4.60263,0,(14.809188 | -187.724706),(14.967336 | -187.558792),22.9212,0.0
168,6,1-2-7-8-13-14,1-2-7-8-13-14,123.597,198.663,3.35814,0,(14.959481 | -187.562660),(14.967336 | -187.558792),0.875487,0.0
169,6,1-2-7-8-13-14,1-2-7-8-13-14,208.372,325.639,1.40498,0,(14.978442 | -187.560904),(14.967336 | -187.558792),1.13052,0.0
170,6,1-2-7-8-13-14,1-2-7-8-13-14,123.35,211.407,4.23588,0,(14.832576 | -187.701510),(14.967336 | -187.558792),19.6287,0.0
171,6,1-2-7-8-13-14,1-2-7-8-13-14,144.008,314.584,2.57233,0,(14.950664 | -187.529728),(14.967336 | -187.558792),3.35062,0.0
172,6,1-2-7-8-13-14,1-2-7-8-13-14,148.162,241.381,5.08389,0,(15.009715 | -187.528456),(14.967336 | -187.558792),5.21179,0.0
173,6,1-2-7-8-13-14,1-2-7-8-13-14,131.73,251.344,4.81673,0,(14.897644 | -187.502589),(14.967336 | -187.558792),8.95307,0.0
174,6,1-2-7-8-13-14,1-2-7-8-13-14,202.329,413.694,3.21613,0,(14.801610 | -187.676594),(14.967336 | -187.558792),20.3328,0.0
175,6,1-2-7-8-13-14,1-2-7-8-13-14,216.429,369.895,3.39494,0,(15.036990 | -187.681671),(14.967336 | -187.558792),14.1247,0.0
176,6,1-2-7-8-13-14,1-2-7-8-13-14,129.935,245.985,2.60492,0,(15.041804 | -187.543153),(14.967336 | -187.558792),7.60929,0.0
177,6,1-2-7-8-13-14,1-2-7-8-13-14,129.519,232.01,4.56388,0,(14.900795 | -187.653624),(14.967336 | -187.558792),11.5848,0.0
178,6,1-2-7-8-13-14,1-2-7-8-13-14,157.101,319.346,3.63278,0,(15.022603 | -187.455859),(14.967336 | -187.558792),11.6832,0.0
179,6,1-2-7-8-13-14,1-2-7-8-13-14,138.874,332.559,2.46504,0,(14.994090 | -187.625381),(14.967336 | -187.558792),7.17623,0.0
180,6,1-2-7-8-13-14,1-2-7-8-13-14,219.904,348.717,5.4525,0,(15.142601 | -187.336945),(14.967336 | -187.558792),28.2726,0.0
181,6,1-2-7-8-13-14,1-2-7-8-13-14,153.888,229.947,4.62054,0,(14.734982 | -187.781367),(14.967336 | -187.558792),32.1757,0.0
182,6,1-2-7-8-13-14,1-2-7-8-13-14,194.106,225.886,2.52349,0,(14.981148 | -187.544234),(14.967336 | -187.558792),2.00678,0.0
183,6,1-2-7-8-13-14,1-2-7-8-13-14,148.114,295.54,2.1801,0,(14.932099 | -187.576482),(14.967336 | -187.558792),3.9428,0.0
184,6,1-2-7-8-13-14,1-2-7-8-13-14,140.941,260.328,3.73018,0,(14.993838 | -187.511311),(14.967336 | -187.558792),5.43766,0.0
185,6,1-2-7-8-13-14,1-2-7-8-13-14,161.752,422.737,3.60602,0,(14.931398 | -187.802814),(14.967336 | -187.558792),24.6654,0.0
186,6,1-2-7-8-13-14,1-2-7-8-13-14,131.698,308.8,1.28797,0,(14.932856 | -187.641286),(14.967336 | -187.558792),8.94097,0.0
187,6,1-2-7-8-13-14,1-2-7-8-13-14,214.181,320.128,2.49561,0,(14.883761 | -187.627225),(14.967336 | -187.558792),10.8018,0.0
188,6,1-2-7-8-13-14,1-2-7-8-13-14,191.766,617.529,4.04804,0,(14.990911 | -187.468718),(14.967336 | -187.558792),9.31086,0.0
